workflow_bandwidth_m,workflow_step,analysis_step,sample_definition,margin,bandwidth_m,formula,included_continuous_controls,included_categorical_controls,dropped_controls,n_obs,n_inside,n_outside,tau_hat,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,focal_school_name,is_estimable,significant_10pct,significant_5pct,significant_1pct,quadrant,mean_inside_year,mean_outside_year,smd_year,mean_inside_floor_area_sqm,mean_outside_floor_area_sqm,smd_floor_area_sqm,mean_inside_remaining_lease,mean_outside_remaining_lease,smd_remaining_lease,mean_inside_num_nearby_malls,mean_outside_num_nearby_malls,smd_num_nearby_malls,mean_inside_num_nearby_mrt,mean_outside_num_nearby_mrt,smd_num_nearby_mrt,mean_inside_num_unique_mrt_lines,mean_outside_num_unique_mrt_lines,smd_num_unique_mrt_lines,tvd_flat_type,tvd_storey_range,tvd_flat_model,tvd_year_quarter,max_abs_smd_numeric,max_tvd_categorical,flat_type,tvd_quadrant
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,498,297,201,-0.0056343999595127,0.0167071514370836,0.735932367161015,-0.0383798150604534,0.0271110151414278,-0.5618556498159788,0.9569892139168548,ok,MAHA BODHI SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,801,407,394,-0.0026793617630496,0.0095120543294567,0.7781883835980978,-0.0213226456677732,0.0159639221416739,-0.2675775477021913,0.968520498525436,ok,NAN HUA PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,304,159,145,-0.0135172330163317,0.0629338850195462,0.8299352143298415,-0.1368653810618272,0.1098309150291636,-1.342628546969804,0.9837062099705494,ok,ST. JOSEPH'S INSTITUTION JUNIOR,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,734,366,368,0.0007902575191014,0.0098214843621394,0.9358697170524354,-0.0184594981054152,0.0200400131436181,0.0790569854844491,0.9568055131560352,ok,CHIJ ST. NICHOLAS GIRLS' SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_mrt; num_unique_mrt_lines,num_nearby_malls:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,43,0,43,,,,,,,,insufficient_sample,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,111,30,81,0.1076921331034128,0.1016026265477204,0.2891743812640116,-0.0914453556647923,0.306829621871618,11.370481975487913,0.9587118682737844,ok,AI TONG SCHOOL,True,False,False,False,NE,2021.7,2018.888888888889,0.9454974236665992,84.86666666666666,70.70370370370371,0.9878635184288904,708.7333333333333,678.5802469135803,0.3427009143055627,0.7,1.0,-0.9102589898327996,1.4,0.4691358024691358,1.0420000439547137,0.7,0.2345679012345679,1.0420000439547137,0.3222222222222222,0.1049382716049382,0.3,0.7234567901234568,1.0420000439547137,0.7234567901234568,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,62,41,21,2.2212257390060586,6.299426437217149,0.7243826270594123,-10.125423201199022,14.56787467921114,821.8623570006334,0.9752826396606624,ok,ANGLO-CHINESE SCHOOL (JUNIOR),True,False,False,False,SE,2020.8536585365853,2023.095238095238,-0.9125193000939704,83.92682926829268,82.61904761904762,0.1800908593043803,720.9756097560976,701.3809523809524,0.6776909356830706,20.365853658536587,20.238095238095237,0.1511811663792015,8.292682926829269,9.476190476190476,-0.6002898114348008,3.975609756097561,4.238095238095238,-0.2834687153922447,0.18931475029036,0.4401858304297328,0.2380952380952381,0.7828106852497098,0.9125193000939704,0.7828106852497098,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,285,75,210,0.0297847717910815,0.0197532364037438,0.1315948104266887,-0.0089308601383619,0.068500403720525,3.0232774935056383,0.985031990281963,ok,CATHOLIC HIGH SCHOOL,True,False,False,False,NE,2023.72,2021.928571428571,0.8097659310618766,94.46666666666668,81.54761904761905,0.8025543827473349,864.1466666666666,759.7,0.8115683685319035,1.4933333333333334,1.1476190476190475,0.6166753369463801,1.0,0.923809523809524,0.4051703157704687,1.0,0.923809523809524,0.4051703157704687,0.3295238095238095,0.2123809523809524,0.3647619047619047,0.4438095238095238,0.8115683685319035,0.4438095238095238,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter,num_nearby_malls:constant; num_nearby_mrt:constant; num_unique_mrt_lines:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,77,19,58,,,,,,,,insufficient_sample,CATHOLIC HIGH SCHOOL,False,False,False,False,NW,2023.7368421052631,2023.5862068965516,0.1164563039827301,84.3157894736842,89.05172413793103,-0.3058438989991737,1050.842105263158,1052.6896551724135,-0.1288665170779029,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1724137931034483,0.3239564428312159,0.1724137931034483,0.3584392014519055,0.3058438989991737,0.3584392014519055,,
100,school_quadrant,03_school_quadrant_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,76,76,0,,,,,,,,insufficient_sample,CATHOLIC HIGH SCHOOL,False,False,False,False,SW,2018.1973684210527,,,90.97368421052632,,,785.4342105263158,,,1.8026315789473684,,,1.0789473684210529,,,1.0789473684210529,,,0.5,0.4999999999999999,0.5,0.4999999999999999,,0.5,,
